#MES TEMP PREC UM10 UM2M FOGO
200001 295.082241667 8.21962425e-05 0.360874758333 0.3649488 0.0
200001 295.121433333 6.61878944583e-05 0.3508733 0.361916191667 0.0
200003 294.5432 6.81461125917e-05 0.356022641667 0.362041283333 0.0
200003 294.084266667 3.50515602667e-05 0.311224758333 0.320486408333 0.0
200004 294.020616667 2.51488715833e-06 0.231291333333 0.245906575 0.0
200005 293.463766667 1.49616660833e-06 0.186475925 0.187355983333 0.0
200006 293.777825 2.18793818333e-06 0.165200875 0.157416991667 0.0
200007 294.624758333 1.01186550833e-06 0.151108791667 0.141571233333 0.0
200008 296.900616667 4.5203141e-06 0.16414065 0.136078816667 0.0
200009 298.3587 4.22369231667e-06 0.180172583333 0.147419366667 0.0
200010 295.88515 7.81264624333e-05 0.295956575 0.223713158333 0.15
200011 295.8479 8.48381614e-05 0.334959175 0.3190764 0.0416666666667
200012 295.008275 5.42296864333e-05 0.3332247 0.351954375 0.1
200101 296.183066667 5.6492164175e-05 0.327734758333 0.339467133333 0.266666666667
200102 295.007483333 6.33497151167e-05 0.343510516667 0.346164683333 0.025
200103 294.917841667 4.5920171525e-05 0.316284166667 0.318076608333 0.15
200104 294.651058333 1.40666194667e-05 0.2660056 0.254760416667 0.183333333333
200105 293.603325 5.29936310833e-06 0.22115975 0.198071975 0.1
200106 293.370375 9.59575808333e-07 0.177764175 0.1629741 0.508333333333
200107 293.253966667 8.33555833333e-07 0.155712933333 0.144681466667 1.325
200108 296.342675 4.37215603333e-06 0.152448816667 0.137262941667 4.14166666667
200109 296.843066667 2.23070106583e-05 0.201399175 0.146639608333 3.33333333333
200110 296.835183333 5.7891982925e-05 0.294830466667 0.210537583333 0.558333333333
200111 296.037758333 4.412009055e-05 0.302535625 0.289566458333 0.0833333333333
200112 295.409575 8.4136659525e-05 0.341116475 0.334113958333 0.0166666666667
200201 295.87025 7.38836565917e-05 0.343942433333 0.352661383333 0.125
200202 295.896883333 4.39515859583e-05 0.320685858333 0.339860766667 0.0583333333333
200203 295.297791667 4.07807944917e-05 0.313674591667 0.318796275 0.0333333333333
200204 295.649666667 1.79782781667e-06 0.23635805 0.251178375 0.225
200205 294.094741667 3.115217575e-06 0.203824016667 0.19141515 0.25
200206 293.95815 1.34817655e-06 0.168230341667 0.158926333333 1.13333333333
200207 295.1129 5.69339325e-07 0.152207966667 0.142190008333 4.65
200208 295.910666667 5.5428402e-06 0.159142333333 0.135663541667 18.0333333333
200209 297.784991667 7.942299575e-06 0.197208533333 0.142416558333 29.2083333333
200210 297.676541667 3.77024146167e-05 0.24600835 0.181684583333 9.36666666667
200211 297.4317 3.86095813833e-05 0.285171541667 0.2581595 2.29166666667
200212 296.556408333 8.56908154e-05 0.345011058333 0.332938366667 0.0916666666667
200301 295.527625 6.2041026225e-05 0.343076508333 0.348268891667 0.15
200302 296.026233333 5.5001767675e-05 0.3268317 0.341524691667 0.475
200303 295.351183333 5.723873915e-05 0.331797241667 0.327640358333 0.366666666667
200304 294.396741667 9.115737875e-06 0.2673265 0.277750833333 0.841666666667
200305 294.365191667 2.01841955833e-06 0.211493916667 0.209844966667 1.18333333333
200306 292.819391667 7.0376195e-07 0.171751425 0.168405516667 3.225
200307 293.376708333 1.04240226167e-06 0.154891741667 0.14742935 4.30833333333
200308 295.382741667 6.229904685e-06 0.164399466667 0.137720558333 9.775
200309 297.843825 7.15024137917e-06 0.184044325 0.140350433333 61.2083333333
200310 296.371741667 2.82439364158e-05 0.227565675 0.16848775 26.0833333333
200311 297.5099 3.63591805475e-05 0.286979883333 0.247154983333 2.2
200312 296.461083333 6.07433033417e-05 0.317694041667 0.307347425 0.591666666667
200401 295.214116667 9.81781421075e-05 0.3585539 0.352208566667 0.075
200402 294.987125 7.34083643342e-05 0.359737216667 0.364008633333 0.0833333333333
200403 294.613366667 6.56389728392e-05 0.348345908333 0.356445691667 0.0666666666667
200404 294.862458333 1.32541642558e-05 0.282720566667 0.301997891667 0.45
200405 294.428133333 1.17570817008e-05 0.237932083333 0.226555125 0.558333333333
200406 293.068116667 1.47030936083e-06 0.198311741667 0.179814775 1.14166666667
200407 292.482225 1.75644055e-06 0.169428041667 0.153761558333 1.83333333333
200408 294.901125 3.35879691667e-07 0.149296616667 0.139991308333 8.46666666667
200409 297.327891667 5.26536525e-07 0.143048575 0.137072641667 32.0333333333
200410 298.065683333 1.99357828833e-05 0.222407058333 0.159019458333 20.8833333333
200411 296.531025 6.3265373075e-05 0.294230483333 0.23110195 4.80833333333
200412 296.388383333 6.64992357e-05 0.328331141667 0.3266849 0.75
200501 296.14205 8.46390504417e-05 0.348500158333 0.343535616667 0.208333333333
