YYYYMMDDHH air2m
2000032912 297.827
2000032918 293.488
2000033000 292.244
2000033006 293.169
2000033012 297.182
2000033018 293.266
2000033100 291.866
2000033106 293.256
2000033112 298.573
2000033118 293.166
2000040100 291.499
2000040106 293.223
2000040112 299.041
2000040118 293.488
2000040200 291.756
2000040206 293.801
2000040212 298.799
2000040218 293.592
2000040300 291.98
2000040306 293.049
2000040312 295.982
2000040318 292.805
2000040400 291.061
2000040406 291.693
2000040412 296.16
2000040418 292.782
2000040500 291.369
2000040506 292.444
2000040512 296.47
2000040518 292.403
2000040600 290.959
2000040606 292.647
2000040612 295.986
2000040618 291.806
2000040700 290.07
2000040706 291.867
2000040712 296.352
2000040718 292.536
2000040800 291.259
2000040806 292.68
2000040812 295.702
2000040818 292.801
2000040900 291.691
2000040906 292.843
2000040912 296.181
2000040918 292.434
2000041000 291.391
2000041006 292.756
2000041012 296.419
2000041018 292.735
2000041100 291.416
2000041106 293.156
2000041112 296.762
2000041118 292.801
2000041200 290.354
2000041206 293.834
2000041212 297.893
2000041218 293.823
2000041300 292.591
2000041306 294.504
2000041312 299.045
2000041318 294.435
2000041400 293.114
2000041406 294.245
2000041412 298.422
2000041418 294.19
2000041500 292.834
2000041506 294.189
2000041512 298.864
2000041518 294.291
2000041600 292.29
2000041606 293.625
2000041612 298.586
2000041618 293.624
2000041700 292.08
2000041706 293.27
2000041712 298.421
2000041718 292.826
2000041800 291.125
2000041806 293.46
2000041812 299.076
2000041818 293.437
2000041900 291.558
2000041906 294.512
2000041912 301.303
2000041918 294.213
2000042000 292.62
2000042006 295.813
2000042012 302.133
2000042018 295.102
2000042100 293.222
2000042106 296.802
2000042112 300.901
2000042118 294.76
2000042200 292.982
2000042206 294.875
2000042212 297.958
2000042218 293.698
2000042300 292.631
2000042306 293.949
2000042312 297.872
2000042318 292.996
2000042400 291.763
2000042406 293.225
2000042412 299.426
2000042418 292.696
2000042500 291.24
2000042506 292.436
2000042512 298.818
2000042518 291.15
2000042600 289.616
2000042606 291.792
2000042612 298.275
2000042618 291.514
2000042700 290.903
2000042706 292.968
2000042712 299.369
2000042718 291.868
2000042800 289.737
2000042806 292.134
2000042812 298.858
2000042818 292.15
2000042900 290.583
2000042906 293.214
2000042912 299.573
2000042918 292.948
2000043000 291.125
2000043006 293.236
2000043012 298.983
2000043018 292.902
2000050100 290.946
2000050106 292.635
2000050112 299.15
2000050118 292.679
2000050200 291.024
2000050206 293.248
2000050212 299.651
2000050218 293.594
2000050300 291.048
2000050306 293.403
2000050312 299.628
2000050318 293.093
2000050400 290.025
2000050406 292.236
2000050412 299.398
2000050418 292.373
2000050500 290.162
2000050506 292.527
2000050512 300.359
2000050518 292.385
2000050600 290.272
2000050606 293.593
2000050612 302.628
2000050618 292.785
2000050700 290.141
2000050706 294.226
2000050712 303.769
2000050718 294.469
2000050800 292.154
2000050806 294.555
2000050812 302.634
2000050818 294.179
2000050900 292.066
2000050906 294.658
2000050912 304.503
2000050918 294.658
2000051000 292.031
2000051006 295.441
2000051012 302.674
2000051018 294.395
2000051100 291.884
2000051106 293.864
2000051112 299.754
2000051118 292.888
2000051200 289.488
2000051206 290.751
2000051212 298.729
2000051218 290.806
2000051300 287.726
2000051306 290.227
2000051312 298.261
2000051318 290.573
2000051400 288.173
2000051406 291.415
2000051412 299.406
2000051418 291.274
