Dia TEMP PREC UM10 UM2M FOGO
2000031500 295.23325 0.00011612957499999999 0.389544 0.370952 0.0
2000031600 295.2355 8.93978225e-05 0.38017075 0.37217675 0.0
2000031700 295.1105 4.7392325e-05 0.3673805 0.3722885 0.0
2000031800 295.2975 5.0035135e-05 0.35544749999999997 0.37101175000000003 0.0
2000031900 295.65825 4.6994845e-05 0.3479465 0.3694845 0.0
2000032000 294.8215 9.8955175e-05 0.3557615 0.36801549999999994 0.0
2000032100 294.47275 2.83986625e-05 0.35244000000000003 0.36690925 0.0
2000032200 294.6755 3.2579024999999996e-05 0.34178600000000003 0.36480075 0.0
2000032300 294.4705 6.492675e-05 0.340751 0.3624385 0.0
2000032400 294.2365 4.849977750000001e-05 0.34620775 0.36077 0.0
2000032500 294.25475 2.387885725e-05 0.33844125 0.35907100000000003 0.0
2000032600 294.75550000000004 4.568194275e-05 0.3332515 0.35678725 0.0
2000032700 294.24625000000003 6.1012100000000005e-05 0.33879250000000005 0.35503075 0.0
2000032800 294.34725 2.40220135e-05 0.33478274999999996 0.35350225 0.0
2000032900 294.337 5.1410485e-05 0.32981575 0.35155650000000005 0.0
2000033000 293.96525 4.28106125e-05 0.332597 0.349807 0.0
2000033100 294.21524999999997 1.901985425e-05 0.32709275 0.3480015 0.0
2000040100 294.31275 2.5382355e-05 0.3173505 0.34561425 0.0
2000040200 294.48699999999997 5.28152985e-05 0.31603824999999997 0.343197 0.0
2000040300 293.454 7.2967125e-05 0.33140274999999997 0.34139274999999997 0.0
2000040400 292.924 3.873782e-05 0.33244650000000003 0.33997724999999995 0.0
2000040500 293.17150000000004 3.3391455e-05 0.32854724999999996 0.3381715 0.0
2000040600 292.8495 5.339077075e-05 0.32452575 0.3363655 0.0
2000040700 292.70625 5.683092e-05 0.324468 0.334779 0.0
2000040800 293.1105 6.471760575e-05 0.32903075 0.33324974999999996 0.0
2000040900 293.28725 3.998494875e-05 0.3298195 0.33172350000000006 0.0
2000041000 293.32525 5.25693525e-05 0.32761 0.33016825 0.0
2000041100 293.53375 2.5269634750000003e-05 0.32503675 0.32858275000000003 0.0
2000041200 293.976 2.2354615499999997e-05 0.31834925000000003 0.32663725 0.0
2000041300 295.14375 5.5389755e-05 0.31788125 0.32466275 0.0
2000041400 294.99275 8.115569499999999e-05 0.32922324999999997 0.323104 0.0
2000041500 295.04449999999997 4.7855575e-05 0.33053299999999997 0.32232175 0.0
2000041600 294.53125 4.3389917499999994e-05 0.32079625 0.3208745 0.0
2000041700 294.14925 1.3181449999999999e-05 0.3119035 0.31876125 0.0
2000041800 294.2745 3.92224375e-06 0.29883 0.316152 0.0
2000041900 295.3965 9.353422499999999e-06 0.2901165 0.313265 0.0
2000042000 296.41700000000003 1.5016535e-05 0.28494675 0.310239 0.0
2000042100 296.42125 6.0141249999999996e-05 0.289384 0.307519 0.0
2000042200 294.87825 7.3617725e-05 0.319888 0.30549550000000003 0.0
2000042300 294.36199999999997 3.9199225e-05 0.32327874999999995 0.30411750000000004 0.0
2000042400 294.27750000000003 1.161925975e-05 0.3053155 0.30215775 0.0
2000042500 293.41099999999994 4.87822e-06 0.29164775 0.29955299999999996 0.0
2000042600 292.79925 1.27885225e-06 0.2810475 0.296556 0.0
2000042700 293.77700000000004 5.6593525000000005e-06 0.27382249999999997 0.2935855 0.0
2000042800 293.21975 6.1291275000000006e-06 0.2688315 0.29058675 0.0
2000042900 294.0795 2.23274465e-05 0.26757875 0.28778075000000003 0.0
2000043000 294.0615 1.225850375e-05 0.2691025 0.2849475 0.0
2000050100 293.85249999999996 1.1500673750000001e-05 0.26529625 0.2822245 0.0
2000050200 294.37925 6.78747625e-06 0.26293050000000007 0.2795565 0.0
2000050300 294.293 1.0042479e-05 0.260114 0.27686175 0.0
2000050400 293.508 5.84654725e-06 0.25810125 0.27399875 0.0
2000050500 293.85825 8.2786e-08 0.25377625000000004 0.271276 0.0
2000050600 294.8195 0.0 0.249841 0.26838625 0.0
2000050700 295.65125 0.0 0.24626275 0.26557975 0.0
2000050800 295.8805 5.26265e-07 0.24276775 0.2624125 0.0
2000050900 296.47124999999994 0.0 0.2398805 0.25938524999999996 0.0
2000051000 296.13525 2.54431725e-06 0.23782375 0.2566355 0.0
2000051100 294.5975 4.686885e-07 0.23548950000000002 0.2538285 0.0
2000051200 292.44350000000003 1.1001475e-07 0.23290624999999998 0.250911 0.0
2000051300 291.69674999999995 1.2430685e-06 0.23084725 0.24810474999999999 0.0
2000051400 292.567 1.07958e-06 0.22892849999999998 0.2454925 0.0
2000051500 292.76200000000006 8.384975e-08 0.226762 0.24296474999999998 0.0
2000051600 293.275 0.0 0.22470625 0.2404925 0.0
2000051700 294.08325 0.0 0.2225945 0.23807525000000002 0.0
2000051800 295.18525000000005 0.0 0.22039999999999998 0.23543675 0.0
2000051900 295.37924999999996 1.418945e-06 0.21831675 0.23279775 0.0
2000052000 294.98875 5.6027825e-06 0.21698525000000002 0.2304645 0.0
2000052100 294.41375 5.2527449999999995e-06 0.2167375 0.22824225 0.0
2000052200 293.349 1.7379125e-06 0.21537625000000002 0.22601949999999998 0.0
2000052300 291.67025 3.0253900000000003e-07 0.21362225 0.22374149999999998 0.0
2000052400 290.87525 0.0 0.211594 0.22154625 0.0
2000052500 291.6185 2.5706725e-06 0.20995225 0.21943474999999998 0.0
2000052600 293.58375 4.5415347500000005e-06 0.20914424999999998 0.21746224999999997 0.0
2000052700 294.95275 7.85119e-07 0.20801225 0.21557374999999998 0.0
2000052800 294.85325 0.0 0.20609624999999998 0.21368549999999997 0.0
2000052900 295.4135 6.601147500000001e-07 0.20437225 0.21165899999999999 0.0
2000053000 294.94849999999997 3.174405e-06 0.20336749999999998 0.20976975 0.0
2000053100 295.4725 2.749875e-08 0.20150599999999996 0.207937 0.0
2000060100 297.024 2.47541e-07 0.19970074999999998 0.20590975 0.0
2000060200 296.75725 3.1080724999999997e-06 0.19827925 0.203993 0.0
2000060300 294.74399999999997 2.0078605e-06 0.196831 0.20199275 0.0
2000060400 292.701 1.2408110000000001e-06 0.19560525 0.20024324999999998 0.0
2000060500 291.48275 5.2369425e-07 0.19410475 0.19852125 0.0
2000060600 291.94350000000003 2.2418275e-06 0.19304925 0.19693875 0.0
