#YYYYMMDDHH,air2m,prate,soilw0-10cm,soilw10-200cm,FOGO
2000012606,295136,2.80397e-06,0.368527,0.371086,0
2000012612,298276,0.000231521,0.377196,0.370533,0
2000012618,295076,7.22121e-05,0.374053,0.370643,0
2000012700,292973,0.0,0.366953,0.370755,0
2000012706,295811,2.77724e-06,0.360402,0.370644,0
2000012712,299158,0.000207708,0.365014,0.369979,0
2000012718,295433,0.000144298,0.373368,0.3702,0
2000012800,293752,1.7422e-05,0.369049,0.370422,0
2000012806,295821,3.9664e-05,0.366957,0.370312,0
2000012812,297768,0.000284516,0.385853,0.370531,0
2000012818,294388,0.0001102,0.381859,0.371084,0
2000012900,292576,1.12582e-05,0.373442,0.371194,0
2000012906,294378,5.5305e-06,0.365131,0.371084,0
2000012912,297656,0.000221809,0.370112,0.371083,0
2000012918,293845,0.000121019,0.376079,0.370971,0
2000013000,292.12,0.0,0.367672,0.37097,0
2000013006,293865,1.09995e-07,0.36058,0.37086,0
2000013012,298803,0.000127267,0.356831,0.370415,0
2000013018,294623,0.000149995,0.364855,0.37008,0
2000013100,292711,0.0,0.359881,0.37008,0
2000013106,294723,"0,004364",0.355563,0.370082,0
2000013112,299698,7.76549e-05,0.341617,0.368186,0
2000013118,294387,4.8051e-05,0.343152,0.367962,0
2000020100,292.36,0.0,0.34217,0.367739,0
2000020106,295023,1.12136e-07,0.33996,0.367407,0
2000020112,300.68,6.15547e-05,0.333932,0.366185,0
2000020118,295079,2.96498e-05,0.334486,0.365739,0
2000020200,293.13,0.0,0.334171,0.365627,0
2000020206,296226,4.84088e-06,0.332628,0.365185,0
2000020212,300478,0.000131137,0.334387,0.364406,0
2000020218,295648,0.000169792,0.349567,0.364406,0
2000020300,294346,0.0,0.345483,0.364184,0
2000020306,296.58,3.34733e-05,0.344488,0.364074,0
2000020312,298326,0.000209424,0.354048,0.363962,0
2000020318,295235,0.000139296,0.368712,0.364296,0
2000020400,293494,0.0,0.362079,0.364296,0
2000020406,295923,9.06922e-06,0.356885,0.364407,0
2000020412,299063,0.00015221,0.354054,0.364075,0
2000020418,295697,0.000136145,0.367678,0.364187,0
2000020500,294497,0.0,0.361994,0.364412,0
2000020506,296128,0.0,0.355986,0.364194,0
2000020512,298553,0.000235043,0.364412,0.364082,0
2000020518,295642,5.78067e-05,0.366062,0.363972,0
2000020600,293434,0.00013098,0.382415,0.364307,0
2000020606,296253,2.02916e-05,0.374738,0.364976,0
2000020612,297832,0.000258641,0.385721,0.365308,0
2000020618,295.22,0.000100958,0.383842,0.366087,0
2000020700,293.24,9.88185e-06,0.376286,0.366199,0
2000020706,295087,3.24714e-05,0.372402,0.366535,0
2000020712,298279,0.00010214,0.36424,0.366312,0
2000020718,294577,0.000151451,0.373625,0.366532,0
2000020800,292865,1.44663e-05,0.368759,0.366867,0
2000020806,294689,3.70129e-06,0.361897,0.366868,0
2000020812,298582,6.89105e-05,0.351119,0.366421,0
2000020818,294601,0.00012639,0.358158,0.366423,0
2000020900,292835,1.82731e-05,0.357725,0.366535,0
2000020906,294.58,2.11346e-05,0.355971,0.366425,0
2000020912,298905,3.72017e-05,0.343849,0.365762,0
2000020918,294745,0.000155369,0.355062,0.365541,0
2000021000,293143,3.31174e-05,0.35463,0.365433,0
2000021006,294488,2.78045e-06,0.350294,0.365545,0
2000021012,299184,6.81123e-05,0.341938,0.365103,0
2000021018,294768,8.30361e-05,0.345055,0.364658,0
2000021100,292.81,4.36166e-05,0.348089,0.364773,0
2000021106,294601,8.14093e-06,0.345754,0.364773,0
2000021112,298917,8.84644e-05,0.341201,0.364219,0
2000021118,294367,8.31806e-05,0.346862,0.36411,0
2000021200,292488,3.16404e-05,0.348084,0.364224,0
2000021206,294543,1.82728e-05,0.345643,0.364224,0
2000021212,299594,5.76375e-05,0.335756,0.363671,0
2000021218,294302,8.31794e-05,0.342857,0.36334,0
2000021300,292.61,1.72253e-05,0.341194,0.363343,0
2000021306,294.81,2.60017e-05,0.339529,0.363455,0
2000021312,299058,3.90555e-05,0.32898,0.362681,0
2000021318,294366,0.00014452,0.339521,0.36246,0
2000021400,292487,2.92729e-05,0.342217,0.362352,0
2000021406,294498,6.95395e-06,0.338649,0.362576,0
2000021412,299018,7.51349e-05,0.329981,0.361686,0
2000021418,293546,4.32415e-05,0.332442,0.361468,0
2000021500,291005,4.03777e-06,0.332312,0.361468,0
2000021506,294022,1.09995e-07,0.33074,0.361137,0
2000021512,300223,4.56834e-05,0.32144,0.360138,0
2000021518,293778,7.57739e-06,0.31965,0.359697,0
2000021600,291049,6.39317e-06,0.322532,0.359477,0
2000021606,295266,0.0,0.32263,0.359367,0
2000021612,301334,7.13344e-05,0.319794,0.357924,0
2000021618,294656,2.78817e-05,0.320566,0.357707,0
2000021700,292142,6.7286e-06,0.322554,0.357707,0
2000021706,295357,3.65092e-05,0.323871,0.357375,0
2000021712,298678,0.000176935,0.330563,0.356823,0
2000021718,294633,0.000182154,0.35353,0.356933,0
2000021800,292909,1.39978e-05,0.352772,0.357156,0
2000021806,295123,1.30999e-05,0.349434,0.35738,0
2000021812,296855,0.000329578,0.382439,0.35738,0
2000021818,293.88,0.000122396,0.385282,0.358156,0
2000021900,292024,9.70091e-06,0.375635,0.359044,0
2000021906,293612,8.75113e-06,0.367855,0.359156,0
2000021912,296.79,0.000214966,0.373483,0.359379,0
2000021918,293512,0.00013623,0.381264,0.359821,0
2000022000,291833,8.80143e-07,0.372168,0.360265,0
2000022006,293077,4.40059e-07,0.364285,0.360378,0
2000022012,297.1,0.000156068,0.357735,0.360266,0
2000022018,293446,6.8437e-05,0.358623,0.360378,0
2000022100,291846,1.23445e-05,0.357288,0.360489,0
2000022106,293656,1.54402e-05,0.354511,0.360599,0
2000022112,297111,0.000123989,0.348624,0.360044,0
2000022118,293621,6.81349e-05,0.351067,0.360155,0
2000022200,291932,2.76534e-05,0.353826,0.360155,0
2000022206,293.81,4.35238e-06,0.350386,0.360157,0
2000022212,297078,9.47216e-05,0.342708,0.359823,0
2000022218,293633,6.72097e-05,0.344698,0.359823,0
2000022300,291257,0.0,0.343703,0.3596,0
2000022306,293544,1.32584e-06,0.342038,0.35949,0
2000022312,298515,4.90629e-05,0.330723,0.3586,0
2000022318,293844,5.40182e-05,0.332619,0.358269,0
2000022400,292266,2.33177e-06,0.333837,0.358159,0
2000022406,294733,5.38372e-06,0.333396,0.357935,0
2000022412,298773,8.87793e-05,0.326824,0.35727,0
2000022418,294111,5.3423e-05,0.330789,0.357045,0
2000022500,292089,6.72945e-07,0.331239,0.356712,0
2000022506,295181,5.60757e-07,0.33002,0.356824,0
2000022512,299229,0.00020892,0.343113,0.356489,0
2000022518,294867,7.75427e-05,0.346222,0.3566,0
2000022600,293355,8.35122e-05,0.355384,0.356822,0
2000022606,295245,2.21918e-05,0.351938,0.356822,0
2000022612,298737,0.000158548,0.355061,0.356933,0
2000022618,294589,0.000132835,0.360823,0.357376,0
2000022700,292934,2.63495e-05,0.358409,0.357599,0
2000022706,294722,2.11253e-05,0.353751,0.357713,0
2000022712,298807,0.000166083,0.355504,0.357713,0
2000022718,294593,0.000145236,0.364712,0.358044,0
2000022800,292992,3.48368e-05,0.362519,0.35838,0
2000022806,294713,3.81724e-05,0.359985,0.358712,0
2000022812,297035,0.000275658,0.377114,0.358935,0
2000022818,294024,0.000155318,0.383428,0.359827,0
2000022900,292248,1.34483e-06,0.372978,0.360272,0
2000022906,293957,1.76252e-06,0.365195,0.360495,0
2000022912,296659,0.000229353,0.372435,0.360384,0
2000022918,293613,0.000119995,0.378892,0.360829,0
2000030100,291447,2.5797e-06,0.370887,0.361164,0
2000030106,292891,3.30012e-07,0.363879,0.361275,0
2000030112,296548,0.000150685,0.360447,0.361164,0
2000030118,293336,0.000113006,0.367805,0.361054,0
2000030200,291492,0.0,0.362679,0.361389,0
2000030206,292735,1.76142e-06,0.35789,0.361499,0
2000030212,296148,0.000178158,0.361347,0.361277,0
2000030218,293015,8.51088e-05,0.365493,0.361389,0
2000030300,291403,0.0,0.360695,0.361504,0
2000030306,292913,4.40059e-07,0.356461,0.361282,0
2000030312,296503,0.000116037,0.352117,0.36117,0
2000030318,292948,8.09605e-05,0.355125,0.361171,0
2000030400,291436,0.0,0.353226,0.361282,0
2000030406,293355,4.40059e-07,0.349995,0.360949,0
2000030412,296.98,0.000143723,0.348849,0.360617,0
2000030418,293735,8.53506e-05,0.353071,0.360616,0
2000030500,291.29,0.0,0.350738,0.360617,0
2000030506,292889,4.43254e-07,0.348404,0.360393,0
2000030512,297354,6.51788e-05,0.33676,0.359727,0
2000030518,292934,4.59392e-05,0.337549,0.359283,0
2000030600,290313,0.0,0.338653,0.359283,0
2000030606,293052,2.21123e-07,0.33787,0.35895,0
2000030612,297633,0.000159675,0.339189,0.358283,0
2000030618,293634,6.3174e-05,0.342398,0.358173,0
2000030700,290936,0.0,0.342843,0.358063,0
2000030706,293946,7.74423e-07,0.341732,0.358175,0
2000030712,299464,7.38428e-05,0.334189,0.357287,0
2000030718,294218,7.08516e-05,0.338816,0.357063,0
2000030800,292441,1.14421e-05,0.341355,0.357174,0
2000030806,295111,1.21872e-06,0.340138,0.357061,0
2000030812,298.26,0.000226614,0.351414,0.356726,0
2000030818,294448,0.000188789,0.372227,0.356834,0
2000030900,293058,2.0973e-05,0.368179,0.357279,0
2000030906,294481,2.78634e-05,0.365439,0.3575,0
2000030912,297156,0.000311614,0.391347,0.357946,0
2000030918,293925,0.000192358,0.396633,0.359391,0
2000031000,292514,6.02386e-05,0.387664,0.360391,0
2000031006,293892,1.33184e-05,0.37555,0.360947,0
