YYYYMMDDHH soilw10-200cm
2000031012 0.361058
2000031018 0.361837
2000031100 0.36217
2000031106 0.362393
2000031112 0.362393
2000031118 0.362617
2000031200 0.362727
2000031206 0.362951
2000031212 0.363395
2000031218 0.364283
2000031300 0.365059
2000031306 0.365169
2000031312 0.365388
2000031318 0.366491
2000031400 0.367155
2000031406 0.367929
2000031412 0.368371
2000031418 0.369811
2000031500 0.370256
2000031506 0.370701
2000031512 0.371036
2000031518 0.371815
2000031600 0.372038
2000031606 0.372038
2000031612 0.372038
2000031618 0.372593
2000031700 0.372593
2000031706 0.372594
2000031712 0.37204
2000031718 0.371927
2000031800 0.371595
2000031806 0.371373
2000031812 0.370706
2000031818 0.370373
2000031900 0.370373
2000031906 0.37004
2000031912 0.368928
2000031918 0.368597
2000032000 0.368597
2000032006 0.368043
2000032012 0.367822
2000032018 0.3676
2000032100 0.367603
2000032106 0.367269
2000032112 0.366605
2000032118 0.36616
2000032200 0.36583
2000032206 0.365272
2000032212 0.364384
2000032218 0.363717
2000032300 0.363383
2000032306 0.362829
2000032312 0.361939
2000032318 0.361603
2000032400 0.361381
2000032406 0.36116
2000032412 0.360381
2000032418 0.360158
2000032500 0.360045
2000032506 0.3596
2000032512 0.358487
2000032518 0.358152
2000032600 0.357707
2000032606 0.357373
2000032612 0.356258
2000032618 0.355811
2000032700 0.355586
2000032706 0.355254
2000032712 0.354697
2000032718 0.354586
2000032800 0.354142
2000032806 0.353808
2000032812 0.353252
2000032818 0.352807
2000032900 0.352362
2000032906 0.352252
2000032912 0.351028
2000032918 0.350584
2000033000 0.350363
2000033006 0.350251
2000033012 0.349363
2000033018 0.349251
2000033100 0.348918
2000033106 0.348585
2000033112 0.347585
2000033118 0.346918
2000040100 0.346587
2000040106 0.346254
2000040112 0.345142
2000040118 0.344474
2000040200 0.344031
2000040206 0.343809
2000040212 0.342809
2000040218 0.342139
2000040300 0.341809
2000040306 0.341697
2000040312 0.341144
2000040318 0.340921
2000040400 0.340587
2000040406 0.340255
2000040412 0.3397
2000040418 0.339367
2000040500 0.33881
2000040506 0.338589
2000040512 0.33781
2000040518 0.337477
2000040600 0.337034
