YYYYMMDDHH soilw0-10cm
2000010100 0.388624
2000010106 0.378611
2000010112 0.374555
2000010118 0.391011
2000010200 0.384469
2000010206 0.375248
2000010212 0.364384
2000010218 0.374205
2000010300 0.368882
2000010306 0.362648
2000010312 0.362611
2000010318 0.36339
2000010400 0.360149
2000010406 0.355353
2000010412 0.35597
2000010418 0.360282
2000010500 0.357039
2000010506 0.352805
2000010512 0.354155
2000010518 0.357034
2000010600 0.354463
2000010606 0.350452
2000010612 0.367705
2000010618 0.366226
2000010700 0.361767
2000010706 0.356758
2000010712 0.364162
2000010718 0.36491
2000010800 0.361116
2000010806 0.357103
2000010812 0.370296
2000010818 0.36831
2000010900 0.363418
2000010906 0.358083
2000010912 0.348485
2000010918 0.354975
2000011000 0.353101
2000011006 0.35066
2000011012 0.358351
2000011018 0.357952
2000011100 0.354747
2000011106 0.350202
2000011112 0.362687
2000011118 0.35872
2000011200 0.354735
2000011206 0.350078
2000011212 0.338972
2000011218 0.339503
2000011300 0.339067
2000011306 0.336629
2000011312 0.328631
2000011318 0.330046
2000011400 0.330727
2000011406 0.330295
2000011412 0.336012
2000011418 0.335266
2000011500 0.334933
2000011506 0.331505
2000011512 0.332017
2000011518 0.327935
2000011600 0.329147
2000011606 0.327726
2000011612 0.321196
2000011618 0.326302
2000011700 0.332063
2000011706 0.332718
2000011712 0.331391
2000011718 0.333286
2000011800 0.33529
2000011806 0.330746
2000011812 0.33273
2000011818 0.334197
2000011900 0.335217
2000011906 0.331671
2000011912 0.347435
2000011918 0.359332
2000012000 0.355221
2000012006 0.356869
2000012012 0.384328
2000012018 0.388792
2000012100 0.381353
2000012106 0.372255
2000012112 0.379683
2000012118 0.392638
2000012200 0.379619
2000012206 0.375623
2000012212 0.394567
2000012218 0.395513
2000012300 0.385092
2000012306 0.384704
2000012312 0.410404
2000012318 0.399886
2000012400 0.383759
2000012406 0.38279
2000012412 0.405515
2000012418 0.39242
2000012500 0.38084
2000012506 0.376192
2000012512 0.38451
2000012518 0.387735
2000012600 0.377858
2000012606 0.368527
2000012612 0.377196
2000012618 0.374053
2000012700 0.366953
2000012706 0.360402
2000012712 0.365014
2000012718 0.373368
2000012800 0.369049
